Art_ID,Title,Image-Link,Artist,Dimensions,Date,Art Type,Description
s0005V1962,The Potato Eaters,"https://iiif.micr.io/yzksg/full/900,/0/default.webp",Vincent van Gogh,"
                oil on canvas",April-May 1885,"82 cm x 114 cm
              ","Van Gogh saw the Potato Eaters as a showpiece, for which he deliberately chose a difficult composition to prove he was on his way to becoming a good figure painter. The painting had to depict the harsh reality of country life, so he gave the peasants coarse faces and bony, working hands. He wanted to show in this way that they ‘have tilled the earth themselves with these hands they are putting in the dish ... that they have thus honestly earned their food’.  He painted the five figures in earth colours – ‘something like the colour of a really dusty potato, unpeeled of course’. The message of the painting was more important to Van Gogh than correct anatomy or technical perfection. He was very pleased with the result: yet his painting drew considerable criticism because its colours were so dark and the figures full of mistakes. Nowadays, the Potato Eaters is one of Van Gogh’s most famous works."
s0029V1962,The Sower,"https://iiif.micr.io/PoVJv/full/900,/0/default.webp",Vincent van Gogh,"
                oil on canvas",November 1888,"32.5 cm x 40.3 cm
              ","Van Gogh had a special interest in sowers throughout his artistic career. All in all, he made more than 30 drawings and paintings on this theme. He painted this sower in the autumn of 1888. At the time, Van Gogh was working together with Paul Gauguin (1848-1903). Gauguin believed that in his work Van Gogh should draw less on reality and more on his imagination.Here, Van Gogh used colours meant to express emotion and passion. He assigned the leading roles to the greenish-yellow of the sky and the purple of the field. The bright yellow sun looks like a halo, turning the sower into a saint."
s0022V1962,Self-Portrait as a Painter,"https://iiif.micr.io/qDCTO/full/900,/0/default.webp",Vincent van Gogh,"
                oil on canvas",December 1887-February 1888,"65.1 cm x 50 cm
              ","Van Gogh presented himself in this self-portrait as a painter, holding a palette and paintbrushes behind his easel. He showed that he was a modern artist by using a new painting style, with bright, almost unblended colours. The palette contains the complementary colour pairs red/green, yellow/purple and blue/orange – precisely the colours Van Gogh used for this painting. He laid these pairs down side by side to intensify one another: the blue of his smock, for instance, and the orange-red of his beard.Self-Portrait as a Painter was the last work Van Gogh produced in Paris; the city had exhausted him both mentally and physically. He told his sister Wil how he had portrayed himself: ‘wrinkles in forehead and around the mouth, stiffly wooden, a very red beard, quite unkempt and sad’."
s0049V1962,Wheatfield with a Reaper,"https://iiif.micr.io/HDzja/full/900,/0/default.webp",Vincent van Gogh,"
                oil on canvas",September 1889,"73.2 cm x 92.7 cm
              ","Van Gogh painted this walled field from his hospital room. For the first few months that he was there, he was not allowed to leave the grounds.The reaper labours in the heat of the sun. The wheat, painted with thick gobs of yellow, undulates around him. For Van Gogh, wheat was a symbol of the eternal cycle of nature and the transience of life. He saw the reaper as 'the image of death . . . in this sense that humanity would be the wheat being reaped.'He added, however, that this death was 'almost smiling. It's all yellow except for a line of violet hills – a pale, blond yellow. I myself find that funny, that I saw it like that through the iron bars of a cell.'"
s0106V1962,Wheatfield under Thunderclouds,"https://iiif.micr.io/fhXoU/full/900,/0/default.webp",Vincent van Gogh,"
                oil on canvas",July 1890,"50.4 cm x 101.3 cm
              ",This painting is on display in the Musée d'Orsay exhibition Van Gogh in Auvers-sur-Oise: The Final Months until 4 February 2024.
s0515S2008,Montmartre in the Rain,"https://iiif.micr.io/AIlXy/full/900,/0/default.webp",Pierre Bonnard,"
                oil on paper on panel",1897,"69.9 cm x 95.0 cm
              ","When he painted this townscape, Bonnard took on a double challenge: the light was failing and it was raining. He was looking out of the window of his Montmartre studio at a view he depicted in a number of works.His decision to place an expanse of blank wall at the centre of the composition is daring. It gives the least picturesque part of the painting the most emphasis. But there is more to it: look at the perspective. Bonnard has used the difference in distance to the middle roofs and the street in an illogical way. He borrowed ideas for this kind of division of the picture plane and irregular perspective from Japanese prints."
s0383V1987,Peasant Family at the Table,"https://iiif.micr.io/WPTWb/full/900,/0/default.webp",Jozef Israëls,"
                oil on canvas",1882,"71 cm x 105 cm
              ",No description available
s0493S1999,The Blue Dress,"https://iiif.micr.io/YMakn/full/900,/0/default.webp",Kees van Dongen,"
                oil on canvas",in or before 1911,"146.2 cm x 114.4 cm
              ","The Dutch painter Kees van Dongen married Augusta (Guus) Preitinger in 1901 and painted this almost life-sized painting ten years later. She gazes provocatively through her eyelashes, her hand placed nonchalantly on her hip.Although this is a portrait of Van Dongen’s wife, it is her bright blue dress that steals the show. It contrasts strongly with Guus’s pale complexion and the red background, causing it to leap out of the canvas. Van Dongen painted the shadows on his wife’s arms and neck in bright green.Working with areas of solid colour and bold contrasts is a typical feature of this artist’s work. The painting was directly inspired by Van Gogh’s bright colours and expressive brushwork."
s0027V1962,The Langlois Bridge,"https://iiif.micr.io/rzhJC/full/900,/0/default.webp",Vincent van Gogh,"
                oil on canvas",March 1888,"59.6 cm x 73.6 cm
              ","The sky was grey when Van Gogh painted this bridge. He worked in the open air more than once in this spot in the southern French city of Arles. Laundry was done in this canal, and linens have been laid out to bleach on the far bank. All that is missing are the washerwomen – who were included in an earlier version.Van Gogh carefully organised his composition. He chose a place for his easel where he could paint the patch of land with the road in the foreground as a large diagonal leading into the left background. He had seen diagonals of this kind used in Japanese prints. Vincent and his brother Theo had accumulated a joint collection of these prints in Paris."
s0176V1962,Almond Blossom,"https://iiif.micr.io/rAERt/full/900,/0/default.webp",Vincent van Gogh,"
                oil on canvas",February 1890,"73.3 cm x 92.4 cm
              ","Large blossom branches like this against a blue sky were one of Van Gogh’s favourite subjects. Almond trees flower early in the spring making them a symbol of new life. Van Gogh borrowed the subject, the bold outlines and the positioning of the tree in the picture plane from Japanese printmaking.The painting was a gift for his brother Theo and sister-in-law Jo, who had just had a baby son, Vincent Willem. In the letter announcing the new arrival, Theo wrote: ‘As we told you, we’ll name him after you, and I’m making the wish that he may be as determined and as courageous as you.’ Unsurprisingly, it was this work that remained closest to the hearts of the Van Gogh family. Vincent Willem went on to found the Van Gogh Museum."
